community_code,year,crime_type,crime_count,population,occupied_dwellings,persons_per_unit,sector,comm_structure,crime_rate_per_1000
01B,2018,Theft FROM Vehicle,2,,,,NORTHWEST,UNDEVELOPED,
01B,2019,Break & Enter - Commercial,2,,,,NORTHWEST,UNDEVELOPED,
01B,2019,Break & Enter - Dwelling,1,,,,NORTHWEST,UNDEVELOPED,
01B,2019,Theft FROM Vehicle,1,,,,NORTHWEST,UNDEVELOPED,
01B,2019,Theft OF Vehicle,1,,,,NORTHWEST,UNDEVELOPED,
01B,2019,Violence  'Other' (Non-domestic),1,,,,NORTHWEST,UNDEVELOPED,
01B,2020,Break & Enter - Commercial,7,,,,NORTHWEST,UNDEVELOPED,
01B,2020,Theft FROM Vehicle,2,,,,NORTHWEST,UNDEVELOPED,
01B,2020,Theft OF Vehicle,3,,,,NORTHWEST,UNDEVELOPED,
01B,2022,Assault (Non-domestic),1,,,,NORTHWEST,UNDEVELOPED,
01B,2022,Break & Enter - Commercial,1,,,,NORTHWEST,UNDEVELOPED,
01B,2023,Break & Enter - Commercial,1,,,,NORTHWEST,UNDEVELOPED,
01B,2023,Theft FROM Vehicle,2,,,,NORTHWEST,UNDEVELOPED,
01F,2018,Break & Enter - Dwelling,2,,,,NORTHWEST,2000s,
01F,2018,Theft FROM Vehicle,1,,,,NORTHWEST,2000s,
01F,2018,Theft OF Vehicle,1,,,,NORTHWEST,2000s,
01F,2019,Break & Enter - Commercial,1,,,,NORTHWEST,2000s,
01F,2019,Break & Enter - Dwelling,1,,,,NORTHWEST,2000s,
01F,2019,Theft FROM Vehicle,2,,,,NORTHWEST,2000s,
01F,2020,Theft OF Vehicle,1,,,,NORTHWEST,2000s,
01F,2021,Break & Enter - Commercial,1,,,,NORTHWEST,2000s,
01F,2023,Break & Enter - Commercial,1,,,,NORTHWEST,2000s,
01H,2021,Theft OF Vehicle,1,,,,WEST,UNDEVELOPED,
01I,2024,Theft FROM Vehicle,1,,,,WEST,UNDEVELOPED,
01K,2018,Assault (Non-domestic),1,,,,NORTHWEST,UNDEVELOPED,
01K,2018,Break & Enter - Commercial,1,,,,NORTHWEST,UNDEVELOPED,
01K,2018,Theft FROM Vehicle,7,,,,NORTHWEST,UNDEVELOPED,
01K,2018,Violence  'Other' (Non-domestic),4,,,,NORTHWEST,UNDEVELOPED,
01K,2019,Assault (Non-domestic),4,,,,NORTHWEST,UNDEVELOPED,
01K,2019,Break & Enter - Commercial,1,,,,NORTHWEST,UNDEVELOPED,
01K,2019,Theft FROM Vehicle,4,,,,NORTHWEST,UNDEVELOPED,
01K,2019,Theft OF Vehicle,8,,,,NORTHWEST,UNDEVELOPED,
01K,2019,Violence  'Other' (Non-domestic),2,,,,NORTHWEST,UNDEVELOPED,
01K,2020,Assault (Non-domestic),3,,,,NORTHWEST,UNDEVELOPED,
01K,2020,Break & Enter - Commercial,1,,,,NORTHWEST,UNDEVELOPED,
01K,2020,Theft FROM Vehicle,1,,,,NORTHWEST,UNDEVELOPED,
01K,2021,Assault (Non-domestic),2,,,,NORTHWEST,UNDEVELOPED,
01K,2021,Break & Enter - Commercial,2,,,,NORTHWEST,UNDEVELOPED,
01K,2021,Street Robbery,1,,,,NORTHWEST,UNDEVELOPED,
01K,2021,Theft FROM Vehicle,1,,,,NORTHWEST,UNDEVELOPED,
01K,2022,Assault (Non-domestic),7,,,,NORTHWEST,UNDEVELOPED,
01K,2022,Break & Enter - Commercial,1,,,,NORTHWEST,UNDEVELOPED,
01K,2022,Theft FROM Vehicle,8,,,,NORTHWEST,UNDEVELOPED,
01K,2022,Theft OF Vehicle,2,,,,NORTHWEST,UNDEVELOPED,
01K,2023,Assault (Non-domestic),2,,,,NORTHWEST,UNDEVELOPED,
01K,2023,Break & Enter - Commercial,1,,,,NORTHWEST,UNDEVELOPED,
01K,2023,Theft FROM Vehicle,5,,,,NORTHWEST,UNDEVELOPED,
01K,2023,Theft OF Vehicle,3,,,,NORTHWEST,UNDEVELOPED,
01K,2023,Violence  'Other' (Non-domestic),1,,,,NORTHWEST,UNDEVELOPED,
01K,2024,Assault (Non-domestic),4,,,,NORTHWEST,UNDEVELOPED,
01K,2024,Theft OF Vehicle,6,,,,NORTHWEST,UNDEVELOPED,
01K,2024,Violence  'Other' (Non-domestic),4,,,,NORTHWEST,UNDEVELOPED,
