community_name_join,year,crime_type,crime_count,population_2019,sector,comm_structure,crime_rate_per_1000
01b,2018,Theft FROM Vehicle,2,,,,
01b,2019,Break & Enter - Commercial,2,,,,
01b,2019,Break & Enter - Dwelling,1,,,,
01b,2019,Theft FROM Vehicle,1,,,,
01b,2019,Theft OF Vehicle,1,,,,
01b,2019,Violence  'Other' (Non-domestic),1,,,,
01b,2020,Break & Enter - Commercial,7,,,,
01b,2020,Theft FROM Vehicle,2,,,,
01b,2020,Theft OF Vehicle,3,,,,
01b,2022,Assault (Non-domestic),1,,,,
01b,2022,Break & Enter - Commercial,1,,,,
01b,2023,Break & Enter - Commercial,1,,,,
01b,2023,Theft FROM Vehicle,2,,,,
01f,2018,Break & Enter - Dwelling,2,,,,
01f,2018,Theft FROM Vehicle,1,,,,
01f,2018,Theft OF Vehicle,1,,,,
01f,2019,Break & Enter - Commercial,1,,,,
01f,2019,Break & Enter - Dwelling,1,,,,
01f,2019,Theft FROM Vehicle,2,,,,
01f,2020,Theft OF Vehicle,1,,,,
01f,2021,Break & Enter - Commercial,1,,,,
01f,2023,Break & Enter - Commercial,1,,,,
01h,2021,Theft OF Vehicle,1,,,,
01i,2024,Theft FROM Vehicle,1,,,,
01k,2018,Assault (Non-domestic),1,,,,
01k,2018,Break & Enter - Commercial,1,,,,
01k,2018,Theft FROM Vehicle,7,,,,
01k,2018,Violence  'Other' (Non-domestic),4,,,,
01k,2019,Assault (Non-domestic),4,,,,
01k,2019,Break & Enter - Commercial,1,,,,
01k,2019,Theft FROM Vehicle,4,,,,
01k,2019,Theft OF Vehicle,8,,,,
01k,2019,Violence  'Other' (Non-domestic),2,,,,
01k,2020,Assault (Non-domestic),3,,,,
01k,2020,Break & Enter - Commercial,1,,,,
01k,2020,Theft FROM Vehicle,1,,,,
01k,2021,Assault (Non-domestic),2,,,,
01k,2021,Break & Enter - Commercial,2,,,,
01k,2021,Street Robbery,1,,,,
01k,2021,Theft FROM Vehicle,1,,,,
01k,2022,Assault (Non-domestic),7,,,,
01k,2022,Break & Enter - Commercial,1,,,,
01k,2022,Theft FROM Vehicle,8,,,,
01k,2022,Theft OF Vehicle,2,,,,
01k,2023,Assault (Non-domestic),2,,,,
01k,2023,Break & Enter - Commercial,1,,,,
01k,2023,Theft FROM Vehicle,5,,,,
01k,2023,Theft OF Vehicle,3,,,,
01k,2023,Violence  'Other' (Non-domestic),1,,,,
01k,2024,Assault (Non-domestic),4,,,,
01k,2024,Theft OF Vehicle,6,,,,
01k,2024,Violence  'Other' (Non-domestic),4,,,,
02b,2020,Break & Enter - Commercial,1,,,,
02b,2021,Break & Enter - Commercial,1,,,,
02b,2023,Break & Enter - Commercial,1,,,,
02c,2020,Break & Enter - Commercial,1,,,,
02c,2021,Break & Enter - Commercial,1,,,,
02c,2021,Theft OF Vehicle,1,,,,
02c,2022,Break & Enter - Commercial,1,,,,
02c,2022,Theft FROM Vehicle,1,,,,
02c,2023,Break & Enter - Commercial,6,,,,
02c,2023,Theft FROM Vehicle,7,,,,
02c,2023,Theft OF Vehicle,1,,,,
