community_name_join,crime_count
manchester industrial,2595
horizon,1389
westwinds,1244
calgary international airport,1162
east shepard industrial,1124
south airways,1078
franklin,1075
meridian,973
highfield,841
stoney 2,806
north airways,663
fairview industrial,655
alythbonnybrook,592
east fairview industrial,538
mccall,502
02e,473
burns industrial,464
mayland,429
south foothills,388
valleyfield,385
12a,359
great plains,350
deerfoot business centre,340
eastfield,258
stoney 3,249
skyline west,238
starfield,237
glenmore park,226
stoney 1,208
royal vista,200
nose hill park,187
golden triangle,181
pegasus,162
stonegate landing,161
section 23,138
skyline east,131
10e,130
fish creek park,127
stoney 4,114
aurora business park,105
12j,88
01k,87
09o,83
symons valley ranch,69
09q,63
glendeer business park,59
ogden shops,51
homestead,48
rangeview,46
haskayne,45
canada olympic park,44
09k,43
medicine hill,35
wolf willow,35
12l,32
13f,30
02f,29
03w,26
01b,25
hotchkiss,25
05d,24
12b,24
glacier ridge,24
alpine park,22
09p,22
02c,21
10d,20
13g,19
ambleton,15
05f,12
06a,12
01f,11
13m,10
09h,9
12c,6
02k,6
06b,5
12i,4
twinhills,3
02b,3
06c,2
12k,2
13a,2
01h,1
01i,1
02l,1
lewisburg,1
13c,1
13e,1
